Epoch Number,Max,Min,Mean,Std Dev
216,3,0,0.184,0.463685
217,3,0,0.184,0.463685
218,3,0,0.184,0.463685
219,3,0,0.184,0.463685
220,3,0,0.184,0.463685
221,3,0,0.188,0.466397
222,3,0,0.188,0.466397
223,3,0,0.188,0.466397
224,3,0,0.188,0.466397
225,3,0,0.188,0.466397
226,3,0,0.188,0.466397
227,3,0,0.188,0.466397
228,3,0,0.188,0.466397
229,3,0,0.188,0.466397
230,3,0,0.188,0.466397
231,3,0,0.188,0.466397
232,3,0,0.188,0.466397
233,3,0,0.188,0.466397
234,3,0,0.188,0.466397
235,3,0,0.188,0.466397
236,3,0,0.188,0.466397
237,3,0,0.188,0.466397
238,3,0,0.188,0.466397
239,3,0,0.188,0.466397
240,3,0,0.188,0.466397
241,3,0,0.188,0.466397
242,3,0,0.188,0.466397
243,3,0,0.188,0.466397
244,3,0,0.192,0.469059
245,3,0,0.192,0.469059
246,3,0,0.192,0.469059
247,3,0,0.192,0.469059
248,3,0,0.192,0.469059
249,3,0,0.192,0.469059
250,3,0,0.192,0.469059
251,3,0,0.192,0.469059
252,3,0,0.192,0.469059
253,3,0,0.192,0.469059
254,3,0,0.192,0.469059
255,3,0,0.192,0.469059
256,3,0,0.192,0.469059
257,3,0,0.192,0.469059
258,3,0,0.192,0.469059
259,3,0,0.192,0.469059
260,3,0,0.192,0.469059
261,3,0,0.196,0.471671
262,3,0,0.2,0.474236
263,3,0,0.2,0.474236
264,3,0,0.2,0.474236
265,3,0,0.2,0.474236
266,3,0,0.2,0.474236
267,3,0,0.2,0.474236
268,3,0,0.2,0.474236
269,3,0,0.2,0.474236
270,3,0,0.2,0.474236
271,3,0,0.2,0.474236
272,3,0,0.2,0.474236
273,3,0,0.2,0.474236
274,3,0,0.2,0.474236
275,3,0,0.2,0.474236
276,3,0,0.2,0.474236
277,3,0,0.2,0.474236
278,3,0,0.204,0.476753
279,3,0,0.204,0.476753
280,3,0,0.204,0.476753
281,3,0,0.208,0.479223
282,3,0,0.212,0.489914
283,3,0,0.216,0.492253
284,3,0,0.216,0.492253
285,3,0,0.216,0.492253
286,3,0,0.216,0.492253
287,3,0,0.216,0.492253
288,3,0,0.216,0.492253
289,3,0,0.216,0.492253
290,3,0,0.216,0.492253
291,3,0,0.216,0.492253
292,3,0,0.216,0.492253
293,3,0,0.216,0.492253
294,3,0,0.216,0.492253
295,3,0,0.216,0.492253
296,3,0,0.216,0.492253
297,3,0,0.216,0.492253
298,3,0,0.216,0.492253
299,3,0,0.22,0.510532
300,3,0,0.22,0.510532
301,3,0,0.22,0.510532
302,3,0,0.22,0.510532
303,3,0,0.22,0.510532
304,3,0,0.22,0.510532
305,3,0,0.22,0.510532
306,3,0,0.22,0.510532
307,3,0,0.22,0.510532
308,3,0,0.224,0.512714
309,3,0,0.228,0.514856
310,3,0,0.232,0.516957
311,3,0,0.232,0.516957
312,3,0,0.232,0.516957
313,3,0,0.236,0.51902
314,3,0,0.236,0.51902
315,3,0,0.236,0.51902
316,3,0,0.236,0.51902
317,3,0,0.236,0.51902
318,3,0,0.236,0.51902
319,3,0,0.236,0.51902
320,3,0,0.236,0.51902
321,3,0,0.236,0.51902
322,3,0,0.236,0.51902
323,3,0,0.24,0.521043
324,3,0,0.24,0.521043
325,3,0,0.24,0.521043
326,3,0,0.24,0.521043
327,3,0,0.24,0.521043
328,3,0,0.24,0.521043
329,3,0,0.244,0.523028
330,3,0,0.244,0.523028
331,3,0,0.244,0.523028
332,3,0,0.244,0.523028
333,3,0,0.244,0.523028
334,3,0,0.244,0.523028
335,3,0,0.244,0.523028
336,3,0,0.244,0.523028
337,3,0,0.248,0.524975
338,3,0,0.252,0.534452
339,3,0,0.252,0.534452
340,3,0,0.252,0.534452
341,3,0,0.252,0.534452
342,3,0,0.252,0.534452
343,3,0,0.252,0.534452
344,3,0,0.252,0.534452
345,3,0,0.252,0.534452
346,3,0,0.252,0.534452
347,3,0,0.252,0.534452
348,3,0,0.252,0.534452
349,3,0,0.252,0.534452
350,3,0,0.252,0.534452
351,3,0,0.252,0.534452
352,3,0,0.252,0.534452
353,3,0,0.252,0.534452
354,3,0,0.252,0.534452
355,3,0,0.256,0.536297
356,3,0,0.256,0.536297
357,3,0,0.256,0.536297
358,3,0,0.256,0.536297
359,3,0,0.256,0.536297
360,3,0,0.256,0.536297
361,3,0,0.256,0.536297
362,3,0,0.256,0.536297
363,3,0,0.256,0.536297
364,3,0,0.256,0.536297
365,3,0,0.26,0.545518
366,3,0,0.26,0.545518
367,3,0,0.26,0.545518
368,3,0,0.26,0.545518
369,3,0,0.26,0.545518
370,3,0,0.26,0.545518
371,3,0,0.26,0.545518
372,3,0,0.26,0.545518
373,3,0,0.2,,0.545518
374,3,0,0.26,0.545518
375,3,0,0.264,0.547268
376,3,0,0.264,0.547268
377,3,0,0.268,0.548982
378,3,0,0.268,0.548982
379,3,0,0.272,0.557908
380,3,0,0.272,0.557908
381,3,0,0.272,0.557908
382,3,0,0.272,0.557908
383,3,0,0.272,0.557908
384,3,0,0.272,0.557908
385,3,0,0.272,0.557908
386,3,0,0.272,0.557908
387,3,0,0.276,0.559532
388,3,0,0.276,0.559532
389,3,0,0.276,0.559532
390,3,0,0.276,0.559532
391,3,0,0.276,0.559532
392,3,0,0.276,0.559532
393,3,0,0.28,0.568235
394,3,0,0.28,0.568235
395,3,0,0.28,0.568235
396,3,0,0.28,0.568235
397,3,0,0.28,0.568235
398,3,0,0.28,0.568235
399,3,0,0.28,0.568235
400,3,0,0.28,0.568235
401,3,0,0.28,0.568235
402,3,0,0.284,0.569774
403,3,0,0.284,0.569774
404,3,0,0.284,0.569774
405,3,0,0.284,0.569774
406,3,0,0.284,0.569774
407,3,0,0.284,0.569774
408,3,0,0.284,0.569774
409,3,0,0.284,0.569774
410,3,0,0.284,0.569774
411,3,0,0.284,0.569774
412,3,0,0.288,0.578268
413,3,0,0.288,0.578268
414,3,0,0.288,0.578268
415,3,0,0.288,0.578268
416,3,0,0.292,0.579724
417,3,0,0.296,0.58115
418,3,0,0.3,0.589398
419,3,0,0.304,0.590745
420,3,0,0.308,0.592063
421,3,0,0.308,0.592063
422,3,0,0.308,0.592063
423,3,0,0.308,0.592063
424,3,0,0.308,0.592063
425,3,0,0.312,0.59335
426,3,0,0.312,0.59335
427,3,0,0.312,0.59335
428,3,0,0.312,0.59335
429,3,0,0.312,0.59335
430,3,0,0.312,0.59335
431,3,0,0.312,0.59335
432,3,0,0.312,0.59335
433,3,0,0.312,0.59335
434,3,0,0.312,0.59335
435,3,0,0.312,0.59335
436,3,0,0.312,0.59335
437,3,0,0.312,0.59335
438,3,0,0.312,0.59335
439,3,0,0.312,0.59335
440,3,0,0.316,0.594608
441,3,0,0.32,0.595836
442,3,0,0.324,0.603723
443,3,0,0.324,0.603723
444,3,0,0.324,0.603723
445,3,0,0.324,0.603723
446,3,0,0.324,0.603723
447,3,0,0.324,0.603723
448,3,0,0.324,0.603723
449,3,0,0.324,0.603723
450,3,0,0.328,0.60488
451,3,0,0.328,0.60488
452,3,0,0.328,0.60488
453,3,0,0.328,0.60488
454,3,0,0.328,0.60488
455,3,0,0.328,0.60488
456,3,0,0.332,0.606007
457,3,0,0.332,0.606007
458,3,0,0.332,0.606007
459,3,0,0.336,0.607107
460,3,0,0.336,0.607107
461,3,0,0.336,0.607107
462,3,0,0.336,0.607107
463,3,0,0.336,0.607107
464,3,0,0.336,0.607107
465,3,0,0.336,0.607107
466,3,0,0.336,0.607107
467,3,0,0.336,0.607107
468,3,0,0.336,0.607107
469,3,0,0.336,0.607107
470,3,0,0.336,0.607107
471,3,0,0.336,0.607107
472,3,0,0.336,0.607107
473,3,0,0.336,0.607107
474,3,0,0.336,0.607107
475,3,0,0.34,0.608177
476,3,0,0.34,0.608177
477,3,0,0.34,0.608177
478,3,0,0.34,0.608177
479,3,0,0.34,0.608177
480,3,0,0.34,0.608177
481,3,0,0.34,0.608177
482,3,0,0.34,0.608177
483,3,0,0.34,0.608177
484,3,0,0.34,0.608177
485,3,0,0.34,0.608177
486,3,0,0.34,0.608177
487,3,0,0.34,0.608177
488,3,0,0.34,0.608177
489,3,0,0.34,0.608177
490,3,0,0.34,0.608177
491,3,0,0.34,0.608177
492,3,0,0.34,0.608177
493,3,0,0.34,0.608177
494,3,0,0.34,0.608177
495,3,0,0.34,0.608177
496,3,0,0.34,0.608177
497,3,0,0.34,0.608177
498,3,0,0.344,0.60922
499,3,0,0.344,0.60922
500,3,0,0.348,0.610234
501,3,0,0.352,0.61122
502,3,0,0.356,0.618704
503,3,0,0.36,0.619625
504,3,0,0.36,0.619625
505,3,0,0.36,0.619625
506,3,0,0.36,0.619625
507,3,0,0.36,0.619625
508,3,0,0.36,0.619625
509,3,0,0.36,0.619625
510,3,0,0.36,0.619625
511,3,0,0.36,0.619625
512,3,0,0.36,0.619625
513,3,0,0.36,0.619625
514,3,0,0.36,0.619625
515,3,0,0.36,0.619625
516,3,0,0.36,0.619625
517,3,0,0.364,0.620519
518,3,0,0.364,0.620519
519,3,0,0.364,0.620519
520,3,0,0.364,0.620519
521,3,0,0.364,0.620519
522,3,0,0.364,0.620519
523,3,0,0.368,0.627816
524,3,0,0.368,0.627816
525,3,0,0.368,0.627816
526,3,0,0.368,0.627816
527,3,0,0.368,0.627816
528,3,0,0.368,0.627816
529,3,0,0.372,0.628647
530,3,0,0.372,0.628647
531,3,0,0.372,0.628647
532,3,0,0.372,0.628647
533,3,0,0.372,0.628647
534,3,0,0.372,0.628647
535,3,0,0.372,0.628647
536,3,0,0.372,0.628647
537,3,0,0.376,0.635799
538,3,0,0.376,0.635799
539,3,0,0.376,0.635799
540,3,0,0.376,0.635799
541,3,0,0.38,0.642848
542,3,0,0.38,0.642848
543,3,0,0.384,0.643584
544,3,0,0.384,0.643584
545,3,0,0.384,0.643584
546,3,0,0.384,0.643584
547,3,0,0.384,0.643584
548,3,0,0.388,0.644295
549,3,0,0.388,0.644295
550,3,0,0.388,0.644295
551,3,0,0.388,0.644295
